"index","timeReal","AccYHip","GyroYHip","AccYKnee","GyroYKnee","Occupancy"
1132,35763,-1684,31,-1000,63,1
1133,35793,-1636,45,-944,82,1
1134,35829,-1480,-60,-796,118,1
1135,35861,-1644,217,-772,175,1
1136,35893,-1532,377,-804,230,1
1137,35923,-1356,647,-1304,340,1
1138,35955,-1356,467,-1692,134,1
1139,35987,-1764,146,-1176,173,1
1140,36018,-1948,111,-1220,91,1
1141,36049,-2188,47,-1216,38,1
1142,36081,-2172,6,-1092,20,1
1143,36112,-2040,47,-1260,-6,1
1144,36144,-1876,-27,-1436,-44,1
1145,36175,-1908,-66,-1268,-53,1
1146,36206,-1932,20,-1340,5,1
1147,36238,-1856,-3,-1288,-27,1
1148,36270,-1812,-30,-1036,-14,1
1149,36306,-1784,-59,-1352,-17,1
1150,36338,-1548,-76,-1024,-97,1
1151,36369,-1676,-6,-1104,-6,1
1152,36401,-1588,-18,-940,-105,1
1153,36432,-1632,-39,-780,12,1
1154,36463,-1752,-59,-956,-27,1
1155,36495,-1568,-72,-908,-24,1
1156,36527,-1628,-63,-1032,-1,1
1157,36557,-1524,2,-912,-16,1
1158,36589,-1588,50,-948,-14,1
1159,36620,-1492,-25,-1028,-23,1
1160,36652,-1732,80,-944,-29,1
1161,36683,-1692,16,-1072,-22,1
1162,36714,-1784,0,-1132,-16,1
1163,36746,-1892,-51,-1228,-33,1
1164,36777,-1688,-38,-1100,-53,1
1165,36813,-1464,-86,-980,-2,1
1166,36844,-1404,35,-736,-78,1
1167,36876,-1552,-40,-864,-34,1
1168,36907,-1756,-38,-928,-82,1
1169,36938,-1936,-55,-1076,-71,1
1170,36970,-1628,-180,-1292,15,1
1171,37001,-1784,-105,-1184,9,1
1172,37032,-1812,67,-1296,16,1
1173,37064,-1900,1,-1348,9,1
1174,37095,-1684,-74,-1248,0,1
1175,37127,-1728,-31,-1104,-10,1
1176,37157,-1656,26,-1088,31,1
1177,37189,-1476,-50,-1284,42,1
1178,37221,-1404,-34,-1140,44,1
1179,37252,-1540,-28,-1172,62,1
1180,37283,-1640,-44,-1084,1,1
1181,37320,-1852,-123,-1016,43,1
1182,37352,-1860,-124,-1348,4,1
1183,37384,-1940,-87,-1172,-29,1
1184,37414,-1664,52,-1072,-48,1
1185,37446,-1512,169,-1280,-61,1
1186,37478,-1760,-102,-976,-4,1
1187,37509,-1828,-25,-1348,-23,1
1188,37540,-1728,1,-1152,-19,1
1189,37572,-1812,-183,-940,-8,1
1190,37603,-1772,-10,-1188,40,1
1191,37635,-1896,42,-1120,2,1
1192,37665,-1712,34,-1132,32,1
1193,37697,-1888,-1,-1012,-4,1
1194,37729,-1960,-29,-1072,-7,1
1195,37760,-1888,59,-1176,19,1
1196,37795,-1832,14,-1168,40,1
1197,37827,-1852,8,-1160,50,1
1198,37858,-1940,-3,-1228,22,1
1199,37890,-1820,-72,-1104,-6,1
1200,37921,-1948,80,-1244,-5,1
1201,37952,-1752,-5,-1136,-10,1
1202,37984,-1836,39,-948,124,1
1203,38016,-1796,101,-756,119,1
1204,38046,-1776,189,-1084,127,1
1205,38078,-1684,94,-1748,100,1
1206,38110,-2048,-25,-1540,128,1
1207,38140,-2148,-56,-1448,21,1
1208,38172,-2008,13,-1232,48,1
1209,38204,-2156,-31,-1264,-13,1
1210,38235,-2016,-126,-1064,-27,1
1211,38266,-1596,-54,-1080,-39,1
1212,38303,-1684,-10,-956,-20,1
1213,38335,-1656,42,-1140,-5,1
1214,38367,-1672,-17,-1528,-3,1
1215,38397,-1888,42,-1292,22,1
1216,38429,-1924,-102,-1372,5,1
1217,38460,-2036,-70,-1336,-28,1
1218,38492,-2124,-69,-1320,-49,1
1219,38523,-2064,-152,-1404,-29,1
1220,38554,-2112,-76,-1240,-49,1
1221,38586,-2156,-64,-1140,-29,1
1222,38618,-1916,-108,-1252,-52,1
1223,38648,-2136,-73,-1276,-68,1
1224,38680,-2176,-72,-1344,-110,1
1225,38712,-2068,-141,-1348,-96,1
1226,38743,-2160,-115,-1328,-74,1
1227,38779,-2012,-84,-1172,-105,1
1228,38810,-1908,-111,-1164,-70,1
1229,38842,-1836,-125,-968,-114,1
1230,38874,-1736,-96,-1108,-70,1
1231,38904,-1576,-120,-1416,-61,1
1232,38936,-1668,-10,-1332,-60,1
1233,38968,-1828,-53,-1128,-42,1
1234,38999,-1928,-19,-1088,-24,1
1235,39030,-1808,-64,-1040,-33,1
1236,39063,-1620,-48,-1016,-28,1
1237,39101,-1708,3,-1040,19,1
1238,39133,-1708,-35,-1124,46,1
1239,39164,-1864,1,-1040,36,1
1240,39195,-1780,-49,-1460,43,1
1241,39227,-1624,163,-1312,22,1
1242,39264,-2064,34,-1304,26,1
1243,39296,-2000,-15,-1196,-8,1
1244,39326,-1976,-45,-1176,-19,1
1245,39358,-1852,36,-1136,-15,1
1246,39390,-1752,50,-1040,39,1
1247,39421,-1824,30,-1256,50,1
1248,39453,-1868,-11,-1292,57,1
1249,39484,-1772,-4,-1260,4,1
1250,39516,-1784,-11,-1292,-14,1
1251,39547,-1920,22,-1244,42,1
1252,39578,-1852,73,-1284,40,1
1253,39610,-1784,35,-1140,50,1
1254,39642,-1628,39,-1128,12,1
1255,39672,-1684,64,-1232,34,1
1256,39704,-1760,34,-1276,33,1
1257,39736,-1840,19,-1360,18,1
1258,39771,-1772,-56,-1000,65,1
1259,39802,-1524,-79,-1184,30,1
1260,39834,-1608,25,-960,41,1
1261,39866,-1760,33,-928,7,1
1262,39897,-1844,23,-1204,61,1
1263,39928,-1860,-12,-1256,18,1
1264,39959,-1892,30,-1288,21,1
1265,39991,-1756,-31,-1464,18,1
1266,40023,-1624,59,-1272,-24,1
1267,40054,-1592,58,-1128,2,1
1268,40085,-1824,18,-1412,-75,1
1269,40117,-1992,0,-1200,-1,1
1270,40148,-2068,-65,-1520,-9,1
