"index","timeReal","AccYHip","GyroYHip","AccYKnee","GyroYKnee","Occupancy"
591,19795,15236,-25,5236,0,0
592,19824,15304,46,5264,20,0
593,19854,15280,7,5220,20,0
594,19883,15240,48,5168,2,0
595,19912,15236,-65,5156,-12,0
596,19942,15208,-29,5284,-8,0
597,19971,15132,-32,5196,42,0
598,20000,15260,-13,5180,53,0
599,20030,15220,-37,5160,36,0
600,20059,15236,-64,5288,-14,0
601,20088,15288,-10,5420,-17,0
602,20117,15144,-4,5308,3,0
603,20147,15180,124,5392,-22,0
604,20180,15120,52,5320,-61,0
605,20209,15184,40,5204,-45,0
606,20239,15104,58,5096,-10,0
607,20269,15188,37,5236,52,0
608,20297,15188,6,5184,61,0
609,20327,15216,-21,5252,35,0
610,20356,15236,-8,5224,45,0
611,20385,15232,-32,5248,30,0
612,20414,15272,-47,5272,44,0
613,20444,15388,-42,5244,-3,0
614,20473,15260,11,5196,5,0
615,20502,15272,19,5264,-1,0
616,20532,15284,-15,5156,4,0
617,20560,15200,11,5208,-60,0
618,20590,15216,2,5260,-20,0
619,20619,15220,-108,5392,12,0
620,20654,15212,101,5200,6,0
621,20683,15184,-115,5268,18,0
622,20712,15344,69,5208,-32,0
623,20742,15200,4,5304,-12,0
624,20770,15204,116,5192,-45,0
625,20800,15168,-47,5236,-42,0
626,20830,15156,27,5184,-23,0
627,20858,15160,-91,5268,15,0
628,20888,15228,60,5136,20,0
629,20917,15176,-11,5096,36,0
630,20946,15128,-38,5192,36,0
631,20976,15168,-23,5176,19,0
632,21005,15280,-29,5184,8,0
633,21035,15200,-3,5288,-14,0
634,21063,15288,-18,5284,32,0
635,21093,15312,-18,5120,50,0
636,21123,15260,24,5284,9,0
637,21155,15124,34,5184,-52,0
638,21185,15216,70,5188,-7,0
639,21214,15272,-60,5260,10,0
640,21243,15168,23,5316,-11,0
641,21273,15148,37,5184,39,0
642,21302,15108,6,5136,42,0
643,21331,15144,9,5276,16,0
644,21360,15196,-35,5256,36,0
645,21390,15228,-3,5224,15,0
646,21419,15312,-16,5112,16,0
647,21448,15236,-2,5260,-3,0
648,21477,15272,-27,5208,31,0
649,21507,15216,24,5216,56,0
650,21535,15260,-46,5272,-9,0
651,21565,15324,22,5292,-10,0
652,21595,15220,35,5140,-50,0
653,21623,15152,47,5192,-35,0
654,21658,15264,40,5268,-18,0
655,21688,15152,74,5176,-14,0
656,21718,15156,101,5244,-31,0
657,21746,15196,85,5148,54,0
658,21776,15192,14,5112,24,0
659,21805,15168,6,5248,78,0
660,21834,15144,-52,5276,92,0
661,21863,15232,-83,5196,111,0
662,21893,15280,-55,5084,54,0
663,21921,15316,-75,5368,-10,0
664,21951,15208,-78,5340,16,0
665,21981,15348,-52,5272,-5,0
666,22009,15224,-17,5356,-25,0
667,22039,15152,-25,5260,-110,0
668,22068,15236,58,5184,-63,0
669,22097,15176,31,5260,-45,0
670,22131,15396,68,5316,27,0
671,22160,15204,-41,5136,47,0
672,22190,15228,50,5248,-25,0
673,22219,15212,8,5248,-5,0
674,22248,15244,-265,5188,61,0
675,22278,15008,-404,5136,912,0
676,22306,16228,-566,5348,-840,0
677,22336,12648,1212,4840,-2692,0
678,22366,15708,-458,4936,1891,0
679,22394,15764,769,5444,-856,0
680,22424,15336,623,6088,148,0
681,22455,16152,872,4948,-166,0
682,22491,15200,179,7568,-943,0
683,22520,15608,402,8016,184,0
684,22549,15424,485,7900,200,0
685,22579,15792,239,8268,-633,0
686,22614,15536,118,8736,-1128,0
